<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZBIO.US,D,20240913,000000,18.35,18.9899,17.02,18.15,1924900,0
ZBIO.US,D,20240916,000000,17.88,18.4218,17.5,17.97,259625,0
ZBIO.US,D,20240917,000000,17.98,18,17.13,17.63,231020,0
ZBIO.US,D,20240918,000000,17.99,18.07,17.5,17.9,70142,0
ZBIO.US,D,20240919,000000,18.2,18.2,17.5,17.52,51407,0
ZBIO.US,D,20240920,000000,17.51,19.09,17.4,19,135279,0
ZBIO.US,D,20240923,000000,19.4,20.1325,17.52,18.59,146016,0
ZBIO.US,D,20240924,000000,18.89,19.8,18.4427,19.23,70868,0
ZBIO.US,D,20240925,000000,19.63,20.5,18.06,18.42,125909,0
ZBIO.US,D,20240926,000000,18.7,19.5,16.5048,17.29,164858,0
ZBIO.US,D,20240927,000000,16.92,19.0082,16.78,17.14,95811,0
ZBIO.US,D,20240930,000000,17.17,18.2424,16.35,16.92,136319,0
ZBIO.US,D,20241001,000000,16.92,17.4,16.17,17.04,140751,0
ZBIO.US,D,20241002,000000,17.13,18.97,16.69,18.53,246787,0
ZBIO.US,D,20241003,000000,18.92,19.62,17.51,18.71,115195,0
ZBIO.US,D,20241004,000000,18.55,20,18.4,18.81,102347,0
ZBIO.US,D,20241007,000000,18.69,19.88,18.4,18.7,96587,0
ZBIO.US,D,20241008,000000,19,19.045,16.8,17.69,290635,0
ZBIO.US,D,20241009,000000,17.9,18.381,16.2,17.1,188632,0
ZBIO.US,D,20241010,000000,17.01,17.5,16.51,17.05,122249,0
ZBIO.US,D,20241011,000000,17.562,18.5,16.91,17.43,216299,0
ZBIO.US,D,20241014,000000,17.41,19.05,17.05,18.76,92494,0
ZBIO.US,D,20241015,000000,18.84,19.91,18.6,19.74,103518,0
ZBIO.US,D,20241016,000000,19.49,20.7262,18.87,19.49,166769,0
ZBIO.US,D,20241017,000000,19.54,21.81,19.14,21.46,101743,0
ZBIO.US,D,20241018,000000,21.44,22.45,20.5,21.34,159643,0
ZBIO.US,D,20241021,000000,21.8,23.5,21.15,23.23,181174,0
ZBIO.US,D,20241022,000000,23.49,26.11,22.495,25.68,265220,0
ZBIO.US,D,20241023,000000,25.6,26.2508,23.07,24.79,225879,0
ZBIO.US,D,20241024,000000,25.01,25.055,23.31,23.39,53023,0
ZBIO.US,D,20241025,000000,23.39,23.96,19.12,20.4,242781,0
ZBIO.US,D,20241028,000000,20.4,22.36,19.63,21.19,159199,0
ZBIO.US,D,20241029,000000,20.96,21.3,19.68,20.6,118250,0
