<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNTM.US,D,20240716,000000,2.18,2.42,2.14,2.38,2802675,0
CNTM.US,D,20240717,000000,2.25,2.73,2.2001,2.49,1061639,0
CNTM.US,D,20240718,000000,2.38,2.4176,1.91,1.93,779455,0
CNTM.US,D,20240719,000000,1.84,1.9,1.61,1.79,427297,0
CNTM.US,D,20240722,000000,1.76,1.88,1.63,1.68,312090,0
CNTM.US,D,20240723,000000,1.59,1.6614,1.35,1.42,355499,0
CNTM.US,D,20240724,000000,1.28,1.3815,1.11,1.15,538743,0
CNTM.US,D,20240725,000000,1.04,1.24,0.99,1.19,882773,0
CNTM.US,D,20240726,000000,1.1,1.1798,1.06,1.11,1488840,0
CNTM.US,D,20240729,000000,1.06,1.1596,1.03,1.04,289209,0
CNTM.US,D,20240730,000000,1.03,1.0599,0.8333,0.92,1319939,0
CNTM.US,D,20240731,000000,0.96,0.9894,0.895001,0.92,218967,0
CNTM.US,D,20240801,000000,0.9145,0.945,0.8333,0.8401,299377,0
CNTM.US,D,20240802,000000,0.86,0.8855,0.75,0.7801,347488,0
CNTM.US,D,20240805,000000,0.7297,0.7499,0.671,0.711,156820,0
CNTM.US,D,20240806,000000,0.75,0.7903,0.7102,0.7125,358984,0
CNTM.US,D,20240807,000000,0.7154,0.7378,0.7144,0.7295,79025,0
CNTM.US,D,20240808,000000,0.7338,0.8988,0.721,0.84,2459643,0
CNTM.US,D,20240809,000000,0.8209,0.8998,0.7911,0.863,501058,0
CNTM.US,D,20240812,000000,0.86,1.41,0.86,1.24,10210425,0
CNTM.US,D,20240813,000000,1.51,1.66,1.16,1.41,10784998,0
CNTM.US,D,20240814,000000,1.37,1.84,1.27,1.76,4885816,0
CNTM.US,D,20240815,000000,1.63,1.74,1.14,1.31,2388221,0
CNTM.US,D,20240816,000000,1.25,1.29,1.0201,1.06,1306509,0
CNTM.US,D,20240819,000000,0.978,0.9874,0.91,0.9839,525875,0
CNTM.US,D,20240820,000000,0.98,1.12,0.9701,1.12,423911,0
CNTM.US,D,20240821,000000,1.04,1.065,0.91,0.98,385333,0
CNTM.US,D,20240822,000000,0.96,1.02,0.95,1,227966,0
CNTM.US,D,20240823,000000,0.9998,1.01,0.924,0.95,272120,0
CNTM.US,D,20240826,000000,0.9573,0.98,0.89,0.9,188091,0
CNTM.US,D,20240827,000000,0.92,0.952,0.85,0.851,269011,0
CNTM.US,D,20240828,000000,0.8816,0.8816,0.8,0.811,320140,0
CNTM.US,D,20240829,000000,0.838,0.899,0.7248,0.860101,143507,0
CNTM.US,D,20240830,000000,0.9,0.915,0.8795,0.882,137641,0
CNTM.US,D,20240903,000000,0.882,0.92,0.87,0.9,131471,0
CNTM.US,D,20240904,000000,0.889,0.954,0.85,0.95,158216,0
CNTM.US,D,20240905,000000,0.9315,1,0.883601,0.999,95747,0
CNTM.US,D,20240906,000000,1.01,1.03,0.95,1.025,157243,0
CNTM.US,D,20240909,000000,1.07,1.26,1.0507,1.21,408106,0
CNTM.US,D,20240910,000000,1.14,1.26,1.11,1.16,228242,0
CNTM.US,D,20240911,000000,1.2,1.225,1.06,1.14,269166,0
CNTM.US,D,20240912,000000,1.14,1.21,1.06,1.09,151112,0
CNTM.US,D,20240913,000000,1.16,1.2,1.09,1.13,211881,0
CNTM.US,D,20240916,000000,1.13,1.24,1.1,1.11,249301,0
CNTM.US,D,20240917,000000,1.12,1.1599,1.1,1.13,162892,0
CNTM.US,D,20240918,000000,1.12,1.14,1.07,1.07,159807,0
CNTM.US,D,20240919,000000,1.1,1.1499,1.07,1.09,268694,0
CNTM.US,D,20240920,000000,1.08,1.23,1.08,1.12,737964,0
CNTM.US,D,20240923,000000,1.14,1.1598,1.07,1.07,149646,0
CNTM.US,D,20240924,000000,1.15,1.45,1.1,1.26,1454571,0
CNTM.US,D,20240925,000000,1.27,1.3,1.06,1.14,306961,0
CNTM.US,D,20240926,000000,1.24,1.35,1.2,1.235,555888,0
CNTM.US,D,20240927,000000,1.23,1.249,1.15,1.18,215837,0
CNTM.US,D,20240930,000000,1.18,1.1922,1.12,1.15,127755,0
CNTM.US,D,20241001,000000,1.2,1.24,0.99,1.0093,533456,0
CNTM.US,D,20241002,000000,1.07,1.07,0.9251,1,240025,0
CNTM.US,D,20241003,000000,1.01,1.01,0.9115,0.9118,103062,0
CNTM.US,D,20241004,000000,0.92,1.07,0.92,1.055,185349,0
CNTM.US,D,20241007,000000,1.05,1.09,0.998,1.06,114153,0
CNTM.US,D,20241008,000000,1.0031,1.1,1.0031,1.05,106191,0
CNTM.US,D,20241009,000000,1.04,1.15,1.035226,1.12,178464,0
CNTM.US,D,20241010,000000,1.16,1.2,1.13,1.18,378359,0
CNTM.US,D,20241011,000000,1.19,1.19,1.1,1.13,325084,0
CNTM.US,D,20241014,000000,1.11,1.11,1.02,1.05,173952,0
CNTM.US,D,20241015,000000,1.05,1.1099,1.02,1.0721,113516,0
CNTM.US,D,20241016,000000,1.1,1.14,1.0403,1.12,191535,0
CNTM.US,D,20241017,000000,1.12,1.15,1.04,1.14,315034,0
CNTM.US,D,20241018,000000,1.12,1.1534,1.07,1.13,252686,0
CNTM.US,D,20241021,000000,1.14,1.1755,1.04,1.05,274681,0
CNTM.US,D,20241022,000000,1.03,1.08,1.02,1.08,148461,0
CNTM.US,D,20241023,000000,1.08,1.095,1.04,1.08,71198,0
CNTM.US,D,20241024,000000,1.13,1.17,1.03,1.04,322560,0
CNTM.US,D,20241025,000000,1.02,1.04,1,1.025,56651,0
CNTM.US,D,20241028,000000,1.01,1.0467,0.9907,0.9912,88655,0
CNTM.US,D,20241029,000000,0.9876,1.01,0.954,0.97,79963,0
