<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTC.US,D,20190108,000000,45,65.95,45,59.4,17995,0
MTC.US,D,20190109,000000,59.1,79.9,56,75.5,20417.9,0
MTC.US,D,20190110,000000,80,114.425,69.1,72.3,24246.2,0
MTC.US,D,20190111,000000,68.5,92.53,68.4,89,20400.4,0
MTC.US,D,20190114,000000,85,88.1,76.3,79.5,14896.6,0
MTC.US,D,20190115,000000,79,83.7,66.6,74.8,13363.4,0
MTC.US,D,20190116,000000,76.7,76.7,67,67.7,6310.4,0
MTC.US,D,20190117,000000,66.001,70,53.57,61.1,4621.1,0
MTC.US,D,20190118,000000,53.401,64.56,53.401,63.5,1149.5,0
MTC.US,D,20190122,000000,62.5,66.35,58.3,62.3,2211.6,0
MTC.US,D,20190123,000000,60.1,64.3,56.1,64.3,1230.9,0
MTC.US,D,20190124,000000,65,68.7,59,64,2963.1,0
MTC.US,D,20190125,000000,63.9,77,63.9,66.2,2744.3,0
MTC.US,D,20190128,000000,64.8,74.7,63.3,65,1177.4,0
MTC.US,D,20190129,000000,63.9,64.4,57.501,61.999,2087.1,0
MTC.US,D,20190130,000000,62.31,63,57.8,61.305,544,0
MTC.US,D,20190131,000000,62.19,64.999,62.1,64.999,554.1,0
MTC.US,D,20190201,000000,66.5,66.6,63.5,63.6,248,0
MTC.US,D,20190204,000000,64.682,70,64.453,66,1410.2,0
MTC.US,D,20190205,000000,63.5,63.7,56.5,62.796,576.4,0
MTC.US,D,20190206,000000,62.6,65.799,60.1,60.1,286.6,0
MTC.US,D,20190207,000000,60.001,60.001,60.001,60.001,36.9,0
MTC.US,D,20190208,000000,60.1,60.1,57.1,57.1,55,0
MTC.US,D,20190211,000000,57.501,59,54.1,57.271,815.9,0
MTC.US,D,20190212,000000,57,57.266,45.601,46.9,2731.8,0
MTC.US,D,20190213,000000,49.774,49.774,45.3,45.5,184.4,0
MTC.US,D,20190214,000000,43.581,45.4,43.418,45.005,479.7,0
MTC.US,D,20190215,000000,45.1,48.074,45.1,47.4,875.9,0
MTC.US,D,20190219,000000,47.1,54.5,47.1,52,940.6,0
MTC.US,D,20190220,000000,52.7,56.464,45.5,48.4,1358.7,0
MTC.US,D,20190221,000000,48.4,50,48.4,49,349.1,0
MTC.US,D,20190222,000000,48.8,50.8,46.4,50.8,463.2,0
MTC.US,D,20190225,000000,52.7,59.3,52.7,53.968,2420.9,0
MTC.US,D,20190226,000000,56.129,56.5,52,53.7,594,0
MTC.US,D,20190227,000000,55.502,55.502,50.5,51.9,993.4,0
MTC.US,D,20190228,000000,52,54.7,49.4,52.5,1166.4,0
MTC.US,D,20190301,000000,53.672,53.879,50.699,50.699,466.7,0
MTC.US,D,20190304,000000,50,50,45.7,48.2,593.7,0
MTC.US,D,20190305,000000,48.3,66.914,46,50.4,11430.8,0
MTC.US,D,20190306,000000,52.3,57.8,49.748,54.1,4223.7,0
MTC.US,D,20190307,000000,54.5,59.899,50.5,59.5,4342.2,0
MTC.US,D,20190308,000000,58.4,58.548,52.3,52.3,1448.3,0
MTC.US,D,20190311,000000,51.75,55.044,50.2,51.7,1044,0
MTC.US,D,20190312,000000,52.5,52.989,51,51.8,356.2,0
